NIGHT_OF_STAY,OCCUPANCY_PERCENTAGE,TOTAL_NET_REVENUE,ADR
2026-05-31,46.67,1771.64,253
2026-05-30,86.67,2956.82,227
2026-05-29,86.67,3019.92,232
2026-05-28,60.00,2639.14,293
2026-05-27,80.00,3024.02,252
2026-05-26,60.00,2875.38,319
2026-05-25,66.67,3354.94,335
2026-05-24,53.33,2382.56,298
2026-05-23,66.67,2640.16,264
2026-05-22,86.67,3200.16,246
2026-05-21,73.33,2526.12,230
2026-05-20,53.33,1749.26,219
2026-05-19,33.33,1375.58,275
2026-05-18,33.33,1378.62,276
2026-05-17,40.00,1908.06,318
2026-05-16,40.00,1864.28,311
2026-05-15,53.33,2081.20,260
2026-05-14,46.67,1780.82,254
2026-05-13,60.00,2372.38,264
2026-05-12,53.33,2039.42,255
2026-05-11,40.00,1695.26,283
2026-05-10,40.00,1286.96,214
2026-05-09,40.00,1033.44,172
2026-05-08,46.67,1435.62,205
2026-05-07,86.67,2685.96,207
2026-05-06,73.33,2494.54,227
2026-05-05,66.67,2426.32,243
2026-05-04,66.67,2655.42,266
2026-05-03,53.33,2660.50,333
2026-05-02,53.33,2647.26,331
2026-05-01,46.67,1818.48,260
