NIGHT_OF_STAY,OCCUPANCY_PERCENTAGE,TOTAL_NET_REVENUE,ADR
2026-05-31,50.00,1063.67,152
2026-05-30,21.43,505.84,169
2026-05-29,28.57,696.50,174
2026-05-28,21.43,454.83,152
2026-05-27,0.00,0.00,0
2026-05-26,0.00,1908.36,0
2026-05-25,35.71,2486.49,497
2026-05-24,35.71,666.50,133
2026-05-23,85.71,2454.38,205
2026-05-22,85.71,2772.86,231
2026-05-21,14.29,541.00,271
2026-05-20,78.57,1842.50,168
2026-05-19,64.29,1268.17,141
2026-05-18,7.14,165.83,166
2026-05-17,14.29,377.54,189
2026-05-16,100.00,2866.91,205
2026-05-15,114.29,3286.36,205
2026-05-14,100.00,2621.64,187
2026-05-13,50.00,969.40,138
2026-05-12,21.43,388.61,130
2026-05-11,14.29,230.08,115
2026-05-10,0.00,107.74,0
2026-05-09,7.14,289.62,290
2026-05-08,7.14,276.86,277
2026-05-07,7.14,150.00,150
2026-05-06,7.14,149.17,149
2026-05-05,0.00,0.00,0
2026-05-04,21.43,417.75,139
2026-05-03,7.14,156.75,157
2026-05-02,100.00,3317.93,237
2026-05-01,50.00,1544.59,221
